,1,2,3,4,5
0,x3,x2,x1,x5,x4
1,x1,x3,x5,x4,x2
2,x2,x5,x4,x1,x3
3,x1,x2,x4,x5,x3
4,x1,x5,x3,x4,x2
5,x1,x3,x5,x4,x2
6,x1,x2,x3,x4,x5
7,x2,x5,x3,x4,x1
8,x1,x5,x4,x2,x3
9,x3,x2,x1,x4,x5
10,x5,x4,x2,x3,x1
11,x2,x1,x3,x5,x4
12,x1,x4,x5,x3,x2
13,x5,x2,x4,x3,x1
14,x5,x3,x2,x4,x1
15,x1,x2,x3,x4,x5
16,x1,x5,x4,x3,x2
17,x3,x2,x5,x4,x1
18,x5,x2,x3,x4,x1
19,x1,x4,x5,x3,x2
20,x3,x2,x1,x5,x4
21,x5,x3,x4,x1,x2
22,x1,x3,x5,x2,x4
23,x3,x1,x5,x2,x4
24,x5,x1,x2,x3,x4
25,x1,x5,x3,x4,x2
26,x5,x3,x2,x4,x1
27,x5,x2,x1,x3,x4
28,x5,x2,x3,x4,x1
29,x1,x2,x5,x3,x4
30,x1,x3,x2,x4,x5
31,x1,x3,x5,x4,x2
32,x5,x3,x2,x1,x4
33,x1,x5,x4,x3,x2
34,x5,x3,x4,x2,x1
35,x2,x3,x1,x4,x5
36,x5,x2,x3,x4,x1
37,x5,x2,x3,x1,x4
38,x5,x1,x3,x2,x4
39,x1,x5,x4,x2,x3
40,x2,x5,x3,x4,x1
41,x5,x4,x3,x2,x1
42,x5,x4,x3,x1,x2
43,x1,x2,x4,x5,x3
44,x2,x3,x5,x4,x1
45,x5,x1,x3,x4,x2
46,x1,x2,x5,x4,x3
47,x1,x4,x2,x5,x3
48,x1,x2,x3,x4,x5
49,x1,x5,x3,x4,x2
50,x5,x2,x3,x4,x1
51,x5,x2,x1,x3,x4
52,x5,x3,x4,x1,x2
53,x1,x3,x2,x4,x5
54,x3,x5,x1,x2,x4
55,x2,x1,x3,x4,x5
56,x3,x2,x5,x1,x4
57,x3,x2,x5,x4,x1
58,x5,x3,x4,x2,x1
59,x3,x4,x5,x2,x1
60,x1,x5,x4,x2,x3
61,x1,x5,x3,x2,x4
62,x1,x5,x3,x4,x2
63,x5,x1,x3,x4,x2
64,x1,x5,x2,x3,x4
65,x2,x5,x3,x1,x4
66,x5,x2,x1,x4,x3
67,x5,x1,x4,x3,x2
68,x1,x5,x2,x3,x4
69,x5,x2,x4,x3,x1
70,x5,x2,x3,x4,x1
71,x5,x1,x4,x3,x2
72,x5,x4,x3,x2,x1
73,x5,x2,x3,x1,x4
74,x5,x3,x1,x4,x2
75,x1,x3,x2,x4,x5
76,x2,x5,x4,x3,x1
77,x2,x3,x5,x4,x1
78,x5,x1,x3,x4,x2
79,x5,x3,x4,x1,x2
80,x5,x1,x3,x4,x2
81,x5,x2,x3,x1,x4
82,x5,x4,x2,x3,x1
83,x2,x1,x3,x4,x5
84,x1,x2,x5,x3,x4
85,x1,x5,x3,x4,x2
86,x2,x5,x3,x4,x1
87,x2,x3,x5,x4,x1
88,x2,x5,x3,x4,x1
89,x4,x1,x5,x2,x3
90,x3,x1,x2,x4,x5
91,x4,x2,x3,x5,x1
92,x5,x2,x3,x4,x1
93,x1,x2,x5,x4,x3
94,x1,x5,x3,x4,x2
95,x1,x2,x4,x5,x3
96,x3,x5,x2,x4,x1
97,x1,x5,x3,x2,x4
98,x1,x2,x5,x4,x3
99,x3,x2,x5,x1,x4
